job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes
job-d0pq6j8hmjts73cqktcg,20250525_231005,c_middle,5,8192,32,0.0494384765625,0.9714588297963846,0.9642333984375,"[0.984130859375, 0.9873046875, 0.986572265625, 0.571533203125, 0.96435546875]",4.857294148981923,2025-05-25 23:10:05,14.883333333333333
job-d0pq6j8hmjts73cqktcg,20250525_231005,c_outer,5,8192,32,0.1173095703125,0.9189866441960953,0.89111328125,"[0.603271484375, 0.9267578125, 0.80224609375, 0.85595703125, 0.928466796875]",4.594933220980477,2025-05-25 23:10:05,14.883333333333333
job-d0pq80g15afs73clkon0,20250525_231306,c_central,1,8192,2,0.81494140625,0.6910192031430561,0.3701171875,[0.3701171875],0.6910192031430561,2025-05-25 23:13:06,17.9
job-d0pq80g15afs73clkon0,20250525_231306,c_inner,5,8192,32,0.0450439453125,0.9959867213912176,0.9771728515625,"[0.97216796875, 0.9404296875, 0.991943359375, 0.92431640625, 0.947021484375]",4.979933606956088,2025-05-25 23:13:06,17.9
job-d0pq80g15afs73clkon0,20250525_231306,c_middle,5,8192,32,0.03662109375,0.9988544549842391,0.9884033203125,"[0.996337890625, 0.9736328125, 0.9853515625, 0.9892578125, 0.985595703125]",4.994272274921196,2025-05-25 23:13:06,17.9
job-d0pq80g15afs73clkon0,20250525_231306,c_outer,5,8192,32,0.0755615234375,0.9466531192702817,0.933837890625,"[0.98583984375, 0.83447265625, 0.93896484375, 0.472900390625, 0.981201171875]",4.7332655963514085,2025-05-25 23:13:06,17.9
job-d0pq9dn75hms73dut0m0,20250525_231606,c_central,1,8192,2,0.8226318359375,0.6742855892516777,0.354736328125,[0.354736328125],0.6742855892516777,2025-05-25 23:16:06,20.9
job-d0pq9dn75hms73dut0m0,20250525_231606,c_inner,5,8192,32,0.038330078125,0.996881459670629,0.9832763671875,"[0.984619140625, 0.921875, 0.998291015625, 0.91357421875, 0.970458984375]",4.984407298353145,2025-05-25 23:16:06,20.9
job-d0pq9dn75hms73dut0m0,20250525_231606,c_middle,5,8192,32,0.038818359375,0.9989583717495742,0.988037109375,"[0.984375, 0.9921875, 0.9873046875, 0.96435546875, 0.978759765625]",4.994791858747871,2025-05-25 23:16:06,20.9
job-d0pq9dn75hms73dut0m0,20250525_231606,c_outer,5,8192,32,0.0955810546875,0.9468744176299225,0.918212890625,"[0.888916015625, 0.922119140625, 0.860107421875, 0.896484375, 0.962158203125]",4.7343720881496125,2025-05-25 23:16:06,20.9
job-d0pqaqghmjts73cql1b0,20250525_231906,c_outer,5,8192,32,0.0902099609375,0.9278651716106644,0.922607421875,"[0.953125, 0.968505859375, 0.93603515625, 0.880615234375, 0.964111328125]",4.639325858053322,2025-05-25 23:19:06,23.9
job-d0pqaqghmjts73cql1b0,20250525_231906,c_middle,5,8192,32,0.03515625,0.9996403894010975,0.993408203125,"[0.999267578125, 0.986572265625, 0.996337890625, 0.999755859375, 0.99755859375]",4.998201947005487,2025-05-25 23:19:06,23.9
job-d0pqaqghmjts73cql1b0,20250525_231906,c_inner,5,8192,32,0.0411376953125,0.9961062994758318,0.980224609375,"[0.984130859375, 0.895263671875, 0.99169921875, 0.894775390625, 0.9921875]",4.980531497379159,2025-05-25 23:19:06,23.9
job-d0pqaqghmjts73cql1b0,20250525_231906,c_central,1,8192,2,0.8006591796875,0.7206077749054347,0.398681640625,[0.398681640625],0.7206077749054347,2025-05-25 23:19:06,23.9
job-d0pqc7n75hms73dut370,20250525_232206,c_central,1,8192,2,0.767578125,0.7822093433178171,0.46484375,[0.46484375],0.7822093433178171,2025-05-25 23:22:06,26.9
job-d0pqc7n75hms73dut370,20250525_232206,c_inner,5,8192,32,0.04736328125,0.9935403923647961,0.974853515625,"[0.927490234375, 0.942138671875, 0.976806640625, 0.864501953125, 0.98388671875]",4.96770196182398,2025-05-25 23:22:06,26.9
job-d0pqc7n75hms73dut370,20250525_232206,c_middle,5,8192,32,0.03515625,0.9994004128578963,0.9923095703125,"[0.991943359375, 0.9970703125, 0.998046875, 0.999755859375, 0.9990234375]",4.9970020642894815,2025-05-25 23:22:06,26.9
job-d0pqc7n75hms73dut370,20250525_232206,c_outer,5,8192,32,0.1016845703125,0.907253290092869,0.908203125,"[0.9267578125, 0.982666015625, 0.9150390625, 0.886962890625, 0.97705078125]",4.536266450464345,2025-05-25 23:22:06,26.9
job-d0pqdk8hmjts73cql3v0,20250525_232505,c_central,1,8192,2,0.8177490234375,0.684976660051679,0.364501953125,[0.364501953125],0.684976660051679,2025-05-25 23:25:05,29.883333333333333
job-d0pqdk8hmjts73cql3v0,20250525_232505,c_inner,5,8192,32,0.050048828125,0.9919966931383677,0.9686279296875,"[0.96337890625, 0.953125, 0.99462890625, 0.903564453125, 0.966552734375]",4.959983465691838,2025-05-25 23:25:05,29.883333333333333
job-d0pqdk8hmjts73cql3v0,20250525_232505,c_middle,5,8192,32,0.0382080078125,0.99896096129653,0.98779296875,"[0.99462890625, 0.97265625, 0.946533203125, 0.988037109375, 0.994873046875]",4.99480480648265,2025-05-25 23:25:05,29.883333333333333
job-d0pqdk8hmjts73cql3v0,20250525_232505,c_outer,5,8192,32,0.10107421875,0.9097660093710325,0.908447265625,"[0.96142578125, 0.960693359375, 0.982421875, 0.893310546875, 0.995849609375]",4.548830046855162,2025-05-25 23:25:05,29.883333333333333
job-d0pqf1f75hms73dut5o0,20250525_232805,c_central,1,8192,2,0.8046875,0.712453444966878,0.390625,[0.390625],0.712453444966878,2025-05-25 23:28:05,32.88333333333333
job-d0pqf1f75hms73dut5o0,20250525_232805,c_inner,5,8192,32,0.0419921875,0.9941319085247342,0.9759521484375,"[0.97802734375, 0.972412109375, 0.995849609375, 0.873046875, 0.9814453125]",4.970659542623671,2025-05-25 23:28:05,32.88333333333333
job-d0pqf1f75hms73dut5o0,20250525_232805,c_middle,5,8192,32,0.036865234375,0.9990825251225747,0.989990234375,"[0.9873046875, 0.990478515625, 0.992919921875, 0.953369140625, 0.992431640625]",4.9954126256128735,2025-05-25 23:28:05,32.88333333333333
