job_id,timestamp,num_shots,central_num_shots,central_entropy,central_entanglement,central_coherence,central_interference,central_bit_balance,inner_num_shots,inner_entropy,inner_entanglement,inner_coherence,inner_interference,inner_bit_balance,middle_num_shots,middle_entropy,middle_entanglement,middle_coherence,middle_interference,middle_bit_balance,outer_num_shots,outer_entropy,outer_entanglement,outer_coherence,outer_interference,outer_bit_balance,job_number,time_minutes
job-d30bc9g5l4ds73f0gaag,2025-09-09 23:20:06.795229+00:00,8192,8192,0.9993910527385943,0.9993910527385943,0.9703560099466283,0.19407120198932565,0.029052734375,8192,4.9874854325754345,0.997497086515087,0.1904985646864164,0.952492823432082,0.0451171875,8192,4.98671525950324,0.9973430519006479,0.19065420157182794,0.9532710078591398,0.044189453125,8192,4.932305512836135,0.986461102567227,0.17429727274168788,0.8714863637084393,0.116552734375,1,0.0
job-d30bd7iiggks73ctpa50,2025-09-09 23:22:06.560372+00:00,8192,8192,0.9999772551748952,0.9999772551748952,0.994362148517419,0.1988724297034838,0.005615234375,8192,4.83028763420619,0.966057526841238,0.1630222076544589,0.8151110382722946,0.15625,8192,4.990333153501829,0.9980666307003657,0.1923909885097121,0.9619549425485605,0.036181640625,8192,4.94775797547547,0.989551595095094,0.1832603168885094,0.9163015844425472,0.0740234375,2,1.9960857166666666
job-d30bdmdotchc73ba8ftg,2025-09-09 23:23:05.918620+00:00,8192,8192,0.99980698386213,0.99980698386213,0.9834527192335257,0.19669054384670515,0.016357421875,8192,4.982532296669701,0.9965064593339402,0.1882365668251602,0.9411828341258011,0.055517578125,8192,4.9888350384146065,0.9977670076829213,0.19256708371911693,0.9628354185955846,0.035009765625,8192,4.94746844885488,0.9894936897709761,0.17950033966001613,0.8975016983000806,0.09296875,3,2.98538985
job-d30bf42iggks73ctpc80,2025-09-09 23:26:08.910056+00:00,8192,8192,0.999681980710428,0.999681980710428,0.9786925641232462,0.19573851282464924,0.02099609375,8192,4.985323353375827,0.9970646706751655,0.18989992453298585,0.9494996226649294,0.047705078125,8192,4.988968756453313,0.9977937512906626,0.19140295563088366,0.9570147781544183,0.040869140625,8192,4.9279266486697235,0.9855853297339447,0.17406553406482803,0.8703276703241402,0.116943359375,4,6.035247116666667
job-d30bggtotchc73ba8iog,2025-09-09 23:29:07.190158+00:00,8192,8192,0.9997952879670506,0.9997952879670506,0.9829530333601838,0.19659060667203676,0.016845703125,8192,4.986892184679706,0.9973784369359413,0.1892486623990756,0.9462433119953779,0.05126953125,8192,4.987336269317728,0.9974672538635456,0.1911260252739905,0.9556301263699526,0.041943359375,8192,4.942979341921571,0.9885958683843142,0.17811137867013882,0.890556893350694,0.099169921875,5,9.006582150000002
job-d30bhto5l4ds73f0gg1g,2025-09-09 23:32:07.140952+00:00,8192,8192,0.9995259208877754,0.9995259208877754,0.9739033081697049,0.19478066163394098,0.025634765625,8192,4.9898135527883865,0.9979627105576773,0.1911137573636333,0.9555687868181666,0.04248046875,8192,4.985291281084954,0.9970582562169907,0.19118397325020128,0.9559198662510064,0.041259765625,8192,4.91115615564785,0.98223123112957,0.17286885983805772,0.8643442991902888,0.12001953125,6,12.00576205
job-d30bjag5l4ds73f0gi40,2025-09-09 23:35:06.619040+00:00,8192,8192,0.9981746661076496,0.9981746661076496,0.9479734988180559,0.18959469976361118,0.05029296875,8192,4.9868166805165215,0.9973633361033043,0.19198270232355694,0.9599135116177846,0.037548828125,8192,4.987224686183206,0.9974449372366412,0.1911607118483309,0.9558035592416545,0.041748046875,8192,4.94288387664616,0.988576775329232,0.17716183988346423,0.8858091994173212,0.103955078125,7,14.997063516666666
job-d30bko05l4ds73f0gjug,2025-09-09 23:38:08.969637+00:00,8192,8192,0.9998452100782274,0.9998452100782274,0.985199040008722,0.19703980800174442,0.0146484375,8192,4.986361037726029,0.9972722075452058,0.18997840774008137,0.9498920387004068,0.047509765625,8192,4.989520105696349,0.9979040211392698,0.19203805313057082,0.960190265652854,0.03779296875,8192,4.961693315591136,0.9923386631182272,0.18132469458598777,0.9066234729299388,0.086376953125,8,18.036240133333333
job-d30bm4lotchc73ba8pu0,2025-09-09 23:41:06.754995+00:00,8192,8192,0.9992046060381146,0.9992046060381146,0.9660278906032553,0.19320557812065106,0.033203125,8192,4.970019816404081,0.9940039632808162,0.18623984413579825,0.9311992206789912,0.06318359375,8192,4.988609343942548,0.9977218687885095,0.19162300774866814,0.9581150387433407,0.039697265625,8192,4.928446269891315,0.9856892539782629,0.17284215082454774,0.8642107541227387,0.1232421875,9,20.999329433333333
job-d30bnhtip27c738icqc0,2025-09-09 23:44:07.551680+00:00,8192,8192,0.9999090192651703,0.9999090192651703,0.9886795722714696,0.19773591445429392,0.01123046875,8192,4.985897545153022,0.9971795090306044,0.18929855933638592,0.9464927966819296,0.050830078125,8192,4.986750397050315,0.997350079410063,0.19108409382759792,0.9554204691379896,0.042041015625,8192,4.9427729188448755,0.9885545837689751,0.1760476698204202,0.880238349102101,0.1095703125,10,24.012607516666666
