job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,job_id_clean,phase
job-d30b1vtip27c738ic4dg,20250909_225807,c_central,1,8192,2,0.5302734375,0.997353976688322,0.939453125,[0.939453125],0.997353976688322,2025-09-09 22:58:07,8.0,d30b1vtip27c738ic4dg,Control
job-d30b2eg5l4ds73f0g16g,20250909_225906,c_outer,5,8192,32,0.0509033203125,0.9913108426288224,0.9659423828125,"[0.992431640625, 0.9775390625, 0.8720703125, 0.845458984375, 0.88525390625]",4.956554213144112,2025-09-09 22:59:06,8.983333333333333,d30b2eg5l4ds73f0g16g,Control
job-d30b2eg5l4ds73f0g16g,20250909_225906,c_middle,5,8192,32,0.0426025390625,0.996859351482932,0.9825439453125,"[0.906494140625, 0.909423828125, 0.991943359375, 0.98828125, 0.969970703125]",4.98429675741466,2025-09-09 22:59:06,8.983333333333333,d30b2eg5l4ds73f0g16g,Control
job-d30b2eg5l4ds73f0g16g,20250909_225906,c_inner,5,8192,32,0.043701171875,0.9961785121476122,0.978515625,"[0.889404296875, 0.943115234375, 0.959228515625, 0.921875, 0.969970703125]",4.980892560738061,2025-09-09 22:59:06,8.983333333333333,d30b2eg5l4ds73f0g16g,Control
job-d30b2eg5l4ds73f0g16g,20250909_225906,c_central,1,8192,2,0.5146484375,0.9993807738581364,0.970703125,[0.970703125],0.9993807738581364,2025-09-09 22:59:06,8.983333333333333,d30b2eg5l4ds73f0g16g,Control
job-d30b3rlotchc73ba86qg,20250909_230206,c_central,1,8192,2,0.5157470703125,0.9992843908495156,0.968505859375,[0.968505859375],0.9992843908495156,2025-09-09 23:02:06,11.983333333333333,d30b3rlotchc73ba86qg,Control
job-d30b3rlotchc73ba86qg,20250909_230206,c_outer,5,8192,32,0.0594482421875,0.9776779303676584,0.955322265625,"[0.912353515625, 1.0, 0.67431640625, 0.857421875, 0.873779296875]",4.888389651838292,2025-09-09 23:02:06,11.983333333333333,d30b3rlotchc73ba86qg,Control
job-d30b3rlotchc73ba86qg,20250909_230206,c_middle,5,8192,32,0.043212890625,0.996639971233566,0.9794921875,"[0.8857421875, 0.93115234375, 0.990966796875, 0.99560546875, 0.98291015625]",4.98319985616783,2025-09-09 23:02:06,11.983333333333333,d30b3rlotchc73ba86qg,Control
job-d30b3rlotchc73ba86qg,20250909_230206,c_inner,5,8192,32,0.0380859375,0.9982769089307528,0.98583984375,"[0.93798828125, 0.95458984375, 0.975830078125, 0.98388671875, 0.958984375]",4.991384544653764,2025-09-09 23:02:06,11.983333333333333,d30b3rlotchc73ba86qg,Control
job-d30b4plotchc73ba87n0,20250909_230406,c_central,1,8192,2,0.5133056640625,0.999489108222217,0.973388671875,[0.973388671875],0.999489108222217,2025-09-09 23:04:06,13.983333333333333,d30b4plotchc73ba87n0,Control
job-d30b4plotchc73ba87n0,20250909_230406,c_middle,5,8192,32,0.037841796875,0.998485188184258,0.98779296875,"[0.96875, 0.923828125, 0.96630859375, 0.997314453125, 0.991943359375]",4.99242594092129,2025-09-09 23:04:06,13.983333333333333,d30b4plotchc73ba87n0,Control
job-d30b4plotchc73ba87n0,20250909_230406,c_outer,5,8192,32,0.044921875,0.9917747358345922,0.9730224609375,"[0.866943359375, 0.95703125, 0.9189453125, 0.98486328125, 0.919921875]",4.958873679172961,2025-09-09 23:04:06,13.983333333333333,d30b4plotchc73ba87n0,Control
job-d30b4plotchc73ba87n0,20250909_230406,c_inner,5,8192,32,0.054931640625,0.976466568454855,0.9578857421875,"[0.91259765625, 0.6591796875, 0.95458984375, 0.83251953125, 0.953125]",4.882332842274275,2025-09-09 23:04:06,13.983333333333333,d30b4plotchc73ba87n0,Control
job-d30b58lip27c738ic7g0,20250909_230506,c_central,1,8192,2,0.5133056640625,0.999489108222217,0.973388671875,[0.973388671875],0.999489108222217,2025-09-09 23:05:06,14.983333333333333,d30b58lip27c738ic7g0,Control
job-d30b58lip27c738ic7g0,20250909_230506,c_middle,5,8192,32,0.0384521484375,0.9976464755258944,0.9857177734375,"[0.89697265625, 0.94970703125, 0.989501953125, 0.9921875, 0.9775390625]",4.988232377629473,2025-09-09 23:05:06,14.983333333333333,d30b58lip27c738ic7g0,Control
job-d30b58lip27c738ic7g0,20250909_230506,c_outer,5,8192,32,0.0472412109375,0.9915769848311834,0.971923828125,"[0.96337890625, 1.0, 0.84814453125, 0.854248046875, 0.90576171875]",4.957884924155917,2025-09-09 23:05:06,14.983333333333333,d30b58lip27c738ic7g0,Control
job-d30b58lip27c738ic7g0,20250909_230506,c_inner,5,8192,32,0.0382080078125,0.997708229492766,0.98583984375,"[0.9169921875, 0.94140625, 0.96728515625, 0.99462890625, 0.970458984375]",4.98854114746383,2025-09-09 23:05:06,14.983333333333333,d30b58lip27c738ic7g0,Control
job-d30b6m5otchc73ba89dg,20250909_230808,c_middle,5,8192,32,0.0394287109375,0.9968667751374952,0.984375,"[0.875732421875, 0.960693359375, 0.9931640625, 0.96728515625, 0.984130859375]",4.984333875687476,2025-09-09 23:08:08,18.016666666666666,d30b6m5otchc73ba89dg,Control
job-d30b6m5otchc73ba89dg,20250909_230808,c_central,1,8192,2,0.5128173828125,0.9995259208877754,0.974365234375,[0.974365234375],0.9995259208877754,2025-09-09 23:08:08,18.016666666666666,d30b6m5otchc73ba89dg,Control
job-d30b6m5otchc73ba89dg,20250909_230808,c_inner,5,8192,32,0.0394287109375,0.9982637697004642,0.984619140625,"[0.958251953125, 0.93701171875, 0.971923828125, 0.99658203125, 0.95166015625]",4.9913188485023205,2025-09-09 23:08:08,18.016666666666666,d30b6m5otchc73ba89dg,Control
job-d30b6m5otchc73ba89dg,20250909_230808,c_outer,5,8192,32,0.0526123046875,0.9851196624856344,0.9635009765625,"[0.97607421875, 0.984619140625, 0.758544921875, 0.844482421875, 0.876953125]",4.925598312428172,2025-09-09 23:08:08,18.016666666666666,d30b6m5otchc73ba89dg,Control
job-d30b7jiiggks73ctp4s0,20250909_231006,c_inner,5,8192,32,0.0709228515625,0.957523422101298,0.9398193359375,"[0.903076171875, 0.51953125, 0.92431640625, 0.8291015625, 0.9501953125]",4.78761711050649,2025-09-09 23:10:06,19.983333333333334,d30b7jiiggks73ctp4s0,Control
job-d30b7jiiggks73ctp4s0,20250909_231006,c_central,1,8192,2,0.500244140625,0.9999998280173422,0.99951171875,[0.99951171875],0.9999998280173422,2025-09-09 23:10:06,19.983333333333334,d30b7jiiggks73ctp4s0,Control
job-d30b7jiiggks73ctp4s0,20250909_231006,c_middle,5,8192,32,0.0413818359375,0.9984542314643846,0.9835205078125,"[0.9609375, 0.935791015625, 0.961181640625, 0.984619140625, 0.99755859375]",4.992271157321923,2025-09-09 23:10:06,19.983333333333334,d30b7jiiggks73ctp4s0,Control
job-d30b7jiiggks73ctp4s0,20250909_231006,c_outer,5,8192,32,0.0426025390625,0.9909207037292106,0.9725341796875,"[0.86767578125, 0.93896484375, 0.912841796875, 0.9912109375, 0.928466796875]",4.954603518646053,2025-09-09 23:10:06,19.983333333333334,d30b7jiiggks73ctp4s0,Control
job-d30b82totchc73ba8an0,20250909_231107,c_outer,5,8192,32,0.048828125,0.9912785475361636,0.96923828125,"[0.973388671875, 0.9638671875, 0.865234375, 0.846435546875, 0.890625]",4.956392737680818,2025-09-09 23:11:07,21.0,d30b82totchc73ba8an0,Control
job-d30b82totchc73ba8an0,20250909_231107,c_central,1,8192,2,0.527099609375,0.9978799630920188,0.94580078125,[0.94580078125],0.9978799630920188,2025-09-09 23:11:07,21.0,d30b82totchc73ba8an0,Control
job-d30b82totchc73ba8an0,20250909_231107,c_inner,5,8192,32,0.0389404296875,0.9983442456972332,0.98583984375,"[0.929931640625, 0.945068359375, 0.976806640625, 0.9931640625, 0.9990234375]",4.991721228486166,2025-09-09 23:11:07,21.0,d30b82totchc73ba8an0,Control
job-d30b82totchc73ba8an0,20250909_231107,c_middle,5,8192,32,0.0364990234375,0.998787763473206,0.98974609375,"[0.9296875, 0.970703125, 0.990966796875, 0.990966796875, 0.988037109375]",4.993938817366029,2025-09-09 23:11:07,21.0,d30b82totchc73ba8an0,Control
job-d30b9fg5l4ds73f0g7jg,20250909_231406,c_central,1,8192,2,0.5201416015625,0.9988291262926628,0.959716796875,[0.959716796875],0.9988291262926628,2025-09-09 23:14:06,23.983333333333334,d30b9fg5l4ds73f0g7jg,Control
job-d30b9fg5l4ds73f0g7jg,20250909_231406,c_inner,5,8192,32,0.0418701171875,0.9979226634614696,0.9822998046875,"[0.91943359375, 0.957275390625, 0.98291015625, 0.983642578125, 0.965087890625]",4.989613317307349,2025-09-09 23:14:06,23.983333333333334,d30b9fg5l4ds73f0g7jg,Control
job-d30b9fg5l4ds73f0g7jg,20250909_231406,c_middle,5,8192,32,0.03955078125,0.9971821406125628,0.984130859375,"[0.904052734375, 0.94580078125, 0.95166015625, 0.997802734375, 0.966064453125]",4.985910703062814,2025-09-09 23:14:06,23.983333333333334,d30b9fg5l4ds73f0g7jg,Control
job-d30b9fg5l4ds73f0g7jg,20250909_231406,c_outer,5,8192,32,0.051025390625,0.9888994396216996,0.96630859375,"[0.9541015625, 0.979248046875, 0.8203125, 0.857421875, 0.868896484375]",4.944497198108499,2025-09-09 23:14:06,23.983333333333334,d30b9fg5l4ds73f0g7jg,Control
job-d30badlotchc73ba8csg,20250909_231606,c_outer,5,8192,32,0.0455322265625,0.9897212139847325,0.9697265625,"[0.867431640625, 0.931640625, 0.908935546875, 0.978759765625, 0.91650390625]",4.948606069923662,2025-09-09 23:16:06,25.983333333333334,d30badlotchc73ba8csg,Control
job-d30badlotchc73ba8csg,20250909_231606,c_middle,5,8192,32,0.0374755859375,0.9986829515722596,0.9881591796875,"[0.95361328125, 0.955810546875, 0.958984375, 0.972412109375, 0.986572265625]",4.993414757861299,2025-09-09 23:16:06,25.983333333333334,d30badlotchc73ba8csg,Control
job-d30badlotchc73ba8csg,20250909_231606,c_central,1,8192,2,0.50244140625,0.9999828016665732,0.9951171875,[0.9951171875],0.9999828016665732,2025-09-09 23:16:06,25.983333333333334,d30badlotchc73ba8csg,Control
job-d30badlotchc73ba8csg,20250909_231606,c_inner,5,8192,32,0.074462890625,0.9433776516743996,0.932861328125,"[0.911865234375, 0.4384765625, 0.8740234375, 0.831787109375, 0.99365234375]",4.716888258371998,2025-09-09 23:16:06,25.983333333333334,d30badlotchc73ba8csg,Control
job-d30baslip27c738iccog,20250909_231706,c_inner,5,8192,32,0.03857421875,0.9980268007182758,0.9844970703125,"[0.96044921875, 0.935546875, 0.97314453125, 0.989990234375, 0.9345703125]",4.990134003591379,2025-09-09 23:17:06,26.983333333333334,d30baslip27c738iccog,Control
job-d30baslip27c738iccog,20250909_231706,c_middle,5,8192,32,0.0396728515625,0.996531598085564,0.984130859375,"[0.869384765625, 0.946533203125, 0.96484375, 0.99169921875, 0.974853515625]",4.98265799042782,2025-09-09 23:17:06,26.983333333333334,d30baslip27c738iccog,Control
job-d30baslip27c738iccog,20250909_231706,c_outer,5,8192,32,0.047119140625,0.9899414293924744,0.9693603515625,"[0.931396484375, 0.994873046875, 0.827880859375, 0.843994140625, 0.90966796875]",4.949707146962372,2025-09-09 23:17:06,26.983333333333334,d30baslip27c738iccog,Control
job-d30baslip27c738iccog,20250909_231706,c_central,1,8192,2,0.5220947265625,0.9985909603108488,0.955810546875,[0.955810546875],0.9985909603108488,2025-09-09 23:17:06,26.983333333333334,d30baslip27c738iccog,Control
job-d30bc9g5l4ds73f0gaag,20250909_232006,c_central,1,8192,2,0.5145263671875,0.9993910527385944,0.970947265625,[0.970947265625],0.9993910527385944,2025-09-09 23:20:06,29.983333333333334,d30bc9g5l4ds73f0gaag,Control
job-d30bc9g5l4ds73f0gaag,20250909_232006,c_inner,5,8192,32,0.0413818359375,0.997497086515087,0.982421875,"[0.92138671875, 0.94384765625, 0.9736328125, 0.980224609375, 0.955322265625]",4.9874854325754345,2025-09-09 23:20:06,29.983333333333334,d30bc9g5l4ds73f0gaag,Control
