job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,phase
job-d1osvl0t0npc73fm2erg,20250712_030036,c_central,1,8192,2,0.5927734375,0.9750212081800549,0.814453125,[0.814453125],0.9750212081800549,2025-07-12 03:00:36,0.0,Control
job-d1osvl0t0npc73fm2erg,20250712_030036,c_inner,5,8192,32,0.0399169921875,0.9967682820135793,0.982421875,"[0.865478515625, 0.971923828125, 0.98388671875, 0.980224609375, 0.99560546875]",4.983841410067896,2025-07-12 03:00:36,0.0,Control
job-d1osvl0t0npc73fm2erg,20250712_030036,c_middle,5,8192,32,0.04150390625,0.994021865852208,0.980224609375,"[0.809814453125, 0.999267578125, 0.992919921875, 0.978515625, 0.9580078125]",4.97010932926104,2025-07-12 03:00:36,0.0,Control
job-d1osvl0t0npc73fm2erg,20250712_030036,c_outer,5,8192,32,0.046875,0.994522721454353,0.9725341796875,"[0.9208984375, 0.99365234375, 0.886474609375, 0.892822265625, 0.9658203125]",4.972613607271765,2025-07-12 03:00:36,0.0,Control
job-d1ot1qf6d0hc73b7f0fg,20250712_030513,c_central,1,8192,2,0.5980224609375,0.9720956331301065,0.803955078125,[0.803955078125],0.9720956331301065,2025-07-12 03:05:13,4.616666666666666,Control
job-d1ot1qf6d0hc73b7f0fg,20250712_030513,c_inner,5,8192,32,0.04150390625,0.9975996058532692,0.983154296875,"[0.905517578125, 0.93701171875, 0.969970703125, 0.999755859375, 0.98095703125]",4.987998029266346,2025-07-12 03:05:13,4.616666666666666,Control
job-d1ot1qf6d0hc73b7f0fg,20250712_030513,c_middle,5,8192,32,0.0400390625,0.9943779424462585,0.981689453125,"[0.8203125, 0.98388671875, 0.989013671875, 0.987060546875, 0.944091796875]",4.971889712231293,2025-07-12 03:05:13,4.616666666666666,Control
job-d1ot1qf6d0hc73b7f0fg,20250712_030513,c_outer,5,8192,32,0.0447998046875,0.995035273206673,0.9774169921875,"[0.946533203125, 0.980712890625, 0.8896484375, 0.8916015625, 0.978759765625]",4.975176366033365,2025-07-12 03:05:13,4.616666666666666,Control
job-d1ot47f6d0hc73b7f2s0,20250712_031021,c_central,1,8192,2,0.6087646484375,0.9655921386702897,0.782470703125,[0.782470703125],0.9655921386702897,2025-07-12 03:10:21,9.75,Control
job-d1ot47f6d0hc73b7f2s0,20250712_031021,c_inner,5,8192,32,0.0465087890625,0.9924991480584863,0.9716796875,"[0.916015625, 0.9326171875, 0.924560546875, 0.997314453125, 0.827880859375]",4.9624957402924315,2025-07-12 03:10:21,9.75,Control
job-d1ot47f6d0hc73b7f2s0,20250712_031021,c_middle,5,8192,32,0.04150390625,0.9945964182043587,0.9801025390625,"[0.82275390625, 0.997802734375, 0.957275390625, 0.974609375, 0.987060546875]",4.972982091021794,2025-07-12 03:10:21,9.75,Control
job-d1ot47f6d0hc73b7f2s0,20250712_031021,c_outer,5,8192,32,0.04833984375,0.9936369565887825,0.9735107421875,"[0.924560546875, 0.978759765625, 0.859130859375, 0.901123046875, 0.948486328125]",4.968184782943912,2025-07-12 03:10:21,9.75,Control
job-d1ot6k0t0npc73fm2lo0,20250712_031528,c_outer,5,8192,32,0.049072265625,0.9923272821640893,0.9698486328125,"[0.892333984375, 0.95263671875, 0.84814453125, 0.911376953125, 0.93408203125]",4.9616364108204465,2025-07-12 03:15:28,14.866666666666667,Progressive Relaxation
job-d1ot6k0t0npc73fm2lo0,20250712_031528,c_middle,5,8192,32,0.041259765625,0.9942954148422851,0.98095703125,"[0.81103515625, 0.96875, 0.99658203125, 0.986083984375, 0.974365234375]",4.971477074211426,2025-07-12 03:15:28,14.866666666666667,Progressive Relaxation
job-d1ot6k0t0npc73fm2lo0,20250712_031528,c_central,1,8192,2,0.561279296875,0.9891376318021334,0.87744140625,[0.87744140625],0.9891376318021334,2025-07-12 03:15:28,14.866666666666667,Progressive Relaxation
